users,combo,real_throughput_rps,rejection_ratio_pct,infer_p95_ms,infer_p99_ms
1,cpu/onnx,3.353448275862069,17.057569296375263,24,27
1,cpu/torch,3.4224137931034484,15.170940170940172,41,45
1,gpu/onnx,3.3017241379310347,14.699331848552344,45,66
1,gpu/tensorrt,2.836206896551724,17.336683417085432,37,49
1,gpu/tensorrtwarm,3.2413793103448274,16.997792494481235,38,59
1,gpu/torch,3.293103448275862,16.5938864628821,10,12
2,cpu/onnx,6.344827586206897,17.39618406285073,25,30
2,cpu/torch,6.301724137931035,16.552511415525117,42,48
2,gpu/onnx,6.379310344827586,16.194790486976217,43,47
2,gpu/tensorrt,5.594827586206897,17.0076726342711,33,38
2,gpu/tensorrtwarm,6.517241379310345,15.056179775280897,34,42
2,gpu/torch,6.2844827586206895,18.181818181818176,11,14
4,cpu/onnx,11.706896551724139,16.73819742489271,57,64
4,cpu/torch,11.043103448275861,18.199233716475092,92,100
4,gpu/onnx,11.879310344827585,17.03792895845876,54,60
4,gpu/tensorrt,9.370689655172415,14.945226917057909,35,42
4,gpu/tensorrtwarm,9.879310344827585,16.654545454545456,37,43
4,gpu/torch,12.318965517241379,16.5303738317757,13,17
8,cpu/onnx,18.396551724137932,16.050354051927616,100,120
8,cpu/torch,16.70689655172414,16.609294320137693,180,230
8,gpu/onnx,19.603448275862068,17.548948513415517,62,86
8,gpu/tensorrt,16.370689655172413,16.819973718791058,29,40
8,gpu/tensorrtwarm,18.232758620689655,16.797797010228166,30,52
8,gpu/torch,20.974137931034484,17.664974619289342,17,27
16,cpu/onnx,23.146551724137932,18.015267175572514,200,220
16,cpu/torch,19.094827586206897,17.258124766529694,350,390
16,gpu/onnx,31.31896551724138,16.845960173952847,87,100
16,gpu/tensorrt,25.405172413793103,17.63555058692007,56,92
16,gpu/tensorrtwarm,25.68103448275862,16.249648580264264,62,140
16,gpu/torch,33.724137931034484,16.463805253042917,24,39
32,cpu/onnx,24.439655172413794,17.682926829268297,400,440
32,cpu/torch,17.53448275862069,16.089108910891092,760,800
32,gpu/onnx,40.41379310344828,16.19592420450483,110,220
32,gpu/tensorrt,27.870689655172413,17.08130289817902,120,270
32,gpu/tensorrtwarm,41.043103448275865,16.649159663865543,110,170
32,gpu/torch,41.922413793103445,16.27066115702479,29,42
64,cpu/onnx,24.413793103448278,15.939447907390914,700,760
64,cpu/torch,17.17241379310345,16.86143572621035,1500,1600
64,gpu/onnx,45.224137931034484,16.34508052942114,140,190
64,gpu/tensorrt,23.732758620689655,16.82779456193354,210,39000
64,gpu/tensorrtwarm,41.61206896551724,17.670134743305475,150,220
64,gpu/torch,43.58620689655172,16.567656765676563,35,52
128,cpu/onnx,24.112068965517242,18.407234539089846,1300,1300
128,cpu/torch,15.974137931034482,17.681030653043095,3300,3300
128,gpu/onnx,42.87068965517241,16.081673979075262,190,250
128,gpu/tensorrt,22.629310344827587,16.560712015257472,280,40000
128,gpu/tensorrtwarm,44.36206896551724,16.461038961038966,200,260
128,gpu/torch,41.86206896551724,16.87778158165012,40,73
256,cpu/onnx,24.07758620689655,17.440141885900083,1300,1400
256,cpu/torch,14.887931034482758,18.422295701464343,3500,3600
256,gpu/onnx,47.275862068965516,15.799170888991243,170,240
256,gpu/tensorrt,26.810344827586206,15.305010893246184,310,40000
256,gpu/tensorrtwarm,50.23275862068966,15.89203233256351,180,320
256,gpu/torch,45.939655172413794,15.653687875910094,44,180
512,cpu/onnx,23.896551724137932,64.37933693138011,1400,1400
512,cpu/torch,13.844827586206897,86.29926633680259,4300,4500
512,gpu/onnx,49.18103448275862,15.154669839381318,160,220
512,gpu/tensorrt,22.732758620689655,73.99664727344444,370,45000
512,gpu/tensorrtwarm,50.043103448275865,14.506627393225335,320,410
512,gpu/torch,45.672413793103445,14.959871589085072,50,67
